title,artist
"<cite class=""title"">Somewhere Over the Rainbow</cite>","<em class=""artist"">Israel Kamakawiwo'ole</em>"
"<cite class=""title"">Starved</cite>","<em class=""artist"">Zach Bryan</em>"
"<cite class=""title"">Tití Me Preguntó</cite>","<em class=""artist"">Bad Bunny</em>"
"<cite class=""title"">Forget Me</cite>","<em class=""artist"">Lewis Capaldi</em>"
"<cite class=""title"">Never Leave</cite>","<em class=""artist"">Bailey Zimmerman</em>"
"<cite class=""title"">Neon You</cite>","<em class=""artist"">Don Louis</em>"
"<cite class=""title"">Don’t Come Lookin’</cite>","<em class=""artist"">Jackson Dean</em>"
"<cite class=""title"">down home</cite>","<em class=""artist"">Jimmie Allen</em>"
"<cite class=""title"">Love Me Like I Am</cite>","<em class=""artist"">for KING &amp; COUNTRY &amp; Jordin Sparks</em>"
"<cite class=""title"">Joy of My Life</cite>","<em class=""artist"">Chris Stapleton</em>"
"<cite class=""title"">Late Night Talking</cite>","<em class=""artist"">Harry Styles</em>"
"<cite class=""title"">Havana (Live)</cite>","<em class=""artist"">Camila Cabello</em>"
"<cite class=""title"">Hold My Hand</cite>","<em class=""artist"">Lady Gaga</em>"
"<cite class=""title"">5 Foot 9</cite>","<em class=""artist"">Tyler Hubbard</em>"
"<cite class=""title"">World's Smallest Violin</cite>","<em class=""artist"">AJR</em>"
"<cite class=""title"">One Way or Another (Hocus Pocus 2 Version)</cite>","<em class=""artist"">Bette Midler, Sarah Jessica Parker &amp; Kathy Najimy</em>"
"<cite class=""title"">I'm Good (Blue)</cite>","<em class=""artist"">David Guetta &amp; Bebe Rexha</em>"
"<cite class=""title"">Take Me Home, Country Roads</cite>","<em class=""artist"">John Denver</em>"
"<cite class=""title"">No Body</cite>","<em class=""artist"">Blake Shelton</em>"
"<cite class=""title"">Fancy Like</cite>","<em class=""artist"">Walker Hayes</em>"
"<cite class=""title"">She Likes It (feat. Jake Scott)</cite>","<em class=""artist"">Russell Dickerson &amp; Jake Scott</em>"
"<cite class=""title"">Tomorrow 2</cite>","<em class=""artist"">GloRilla &amp; Cardi B</em>"
"<cite class=""title"">CASE 143</cite>","<em class=""artist"">Stray Kids</em>"
"<cite class=""title"">Glimpse of Us</cite>","<em class=""artist"">Joji</em>"
"<cite class=""title"">How Far I'll Go</cite>","<em class=""artist"">Auli'i Cravalho</em>"
"<cite class=""title"">Lady Marmalade</cite>","<em class=""artist"">Christina Aguilera, Lil' Kim, Mýa &amp; P!nk</em>"
"<cite class=""title"">'Til You Can't</cite>","<em class=""artist"">Cody Johnson</em>"
"<cite class=""title"">Narco</cite>","<em class=""artist"">Blasterjaxx &amp; Timmy Trumpet</em>"
"<cite class=""title"">No Se Va (En Vivo)</cite>","<em class=""artist"">Grupo Frontera</em>"
"<cite class=""title"">Guitar Man</cite>","<em class=""artist"">Bread</em>"
"<cite class=""title"">Bedroom Singer</cite>","<em class=""artist"">J.Fla</em>"
